n,p,k,temperature,ph,label,ec,moisture
74.0,39.0,38.0,23.24113501,7.782051312999999,rice,1.06,100.0
79.0,43.0,39.0,21.66628296,7.062779015,rice,0.99,100.0
88.0,55.0,45.0,24.63544858,7.730367824,rice,1.38,100.0
60.0,36.0,43.0,23.43121862,5.286203711000001,rice,1.13,100.0
76.0,60.0,39.0,20.0454142,6.766240045,rice,1.24,98.5
93.0,56.0,42.0,23.85724032,7.382762603,rice,1.4,95.6
65.0,60.0,43.0,21.97199397,5.658169482000001,rice,1.04,100.0
95.0,52.0,36.0,26.22916897,5.543360237999999,rice,1.15,100.0
75.0,38.0,39.0,23.44676801,6.215109715,rice,0.92,100.0
74.0,54.0,38.0,25.65553461,7.120272972,rice,1.4,100.0
91.0,36.0,45.0,24.44345477,5.950647577000001,rice,1.22,100.0
71.0,46.0,40.0,20.2801937,7.236705436,rice,1.14,97.8
99.0,55.0,35.0,21.7238313,6.501697816,rice,1.15,100.0
72.0,40.0,38.0,20.41447029,7.592490617,rice,1.27,100.0
83.0,58.0,45.0,25.75528612,5.875345751,rice,1.15,100.0
93.0,58.0,38.0,20.61521424,6.932400225,rice,1.22,100.0
70.0,36.0,42.0,21.84106875,6.9462098810000015,rice,1.11,96.2
76.0,47.0,42.0,20.08369642,5.739175027000001,rice,0.98,100.0
99.0,41.0,36.0,24.45802087,6.738652179,rice,1.19,92.8
99.0,54.0,37.0,21.14347496,5.5948196260000005,rice,1.06,95.2
86.0,59.0,35.0,25.78720567,6.946636369,rice,1.28,100.0
69.0,46.0,41.0,23.64124821,5.012139669,rice,1.23,100.0
91.0,56.0,37.0,23.43191632,6.363472207999999,rice,1.29,100.0
61.0,52.0,41.0,24.97669518,6.880431223,rice,1.21,100.0
67.0,45.0,38.0,22.72791041,7.300410836,rice,1.15,100.0
79.0,42.0,37.0,24.87300744,6.587918707999999,rice,1.19,100.0
78.0,43.0,42.0,21.32376327,7.283736617000001,rice,1.22,94.7
75.0,54.0,36.0,26.29465461,7.023936392,rice,1.0,100.0
97.0,36.0,45.0,22.2286982,6.939083505,rice,1.38,100.0
67.0,47.0,44.0,26.73072391,7.868474653,rice,1.1,100.0
73.0,35.0,38.0,24.88921174,5.005306977,rice,1.11,92.5
77.0,36.0,37.0,26.88444878,6.136131869,rice,1.1,93.0
81.0,41.0,38.0,22.67846116,7.5240800760000015,rice,1.25,100.0
68.0,57.0,43.0,26.08867875,5.706943251,rice,1.16,92.1
72.0,45.0,35.0,25.42977518,5.758506323,rice,1.23,90.4
61.0,53.0,43.0,26.40323239,6.349606327,rice,1.03,100.0
67.0,43.0,39.0,26.04371967,5.9999690260000005,rice,1.08,96.9
67.0,58.0,39.0,25.2827223,5.453592032,rice,1.16,100.0
66.0,60.0,38.0,22.08576562,6.372576327000001,rice,1.09,100.0
82.0,43.0,38.0,23.28617173,5.105588355,rice,1.03,100.0
84.0,50.0,44.0,25.48591986,5.9353444060000005,rice,1.16,95.1
81.0,53.0,42.0,23.67575393,5.17782304,rice,1.18,100.0
91.0,50.0,40.0,20.82477109,6.462391607000001,rice,1.09,100.0
93.0,53.0,38.0,26.92995077,7.069172227,rice,1.34,100.0
90.0,44.0,38.0,23.83509503,7.473134377,rice,1.12,100.0
81.0,45.0,35.0,26.52872817,6.158376967000001,rice,0.97,99.5
78.0,40.0,38.0,26.46428311,7.549873681,rice,1.04,100.0
60.0,51.0,36.0,22.69657794,6.028321557999999,rice,0.99,100.0
88.0,46.0,42.0,22.68319059,6.604993475,rice,1.18,95.9
93.0,47.0,37.0,21.53346343,6.500343222000001,rice,1.13,100.0
60.0,55.0,45.0,21.40865769,5.935745417000001,rice,1.08,100.0
78.0,35.0,44.0,26.54348085,7.072655622,rice,1.2,96.1
65.0,37.0,40.0,23.35905428,5.333322606,rice,1.16,91.6
71.0,54.0,16.0,22.61359953,5.7499144210000015,maize,0.9,48.8
61.0,44.0,17.0,26.10018422,6.931756557999999,maize,0.83,52.1
80.0,43.0,16.0,23.55882094,6.657964753,maize,1.17,41.5
73.0,58.0,21.0,19.97215954,6.596060648,maize,1.01,36.1
61.0,38.0,20.0,18.47891261,5.970458434,maize,1.01,40.6
68.0,41.0,16.0,21.77689322,6.158830619,maize,1.08,48.4
93.0,41.0,17.0,25.6217169,6.047906679,maize,0.97,54.3
89.0,60.0,19.0,25.19192419,5.913664501,maize,1.04,45.2
76.0,44.0,17.0,20.41683147,5.855442401,maize,0.86,38.0
67.0,60.0,25.0,24.92162194,5.750254943,maize,1.0,53.1
70.0,44.0,19.0,23.31689124,5.852607099,maize,0.93,44.5
90.0,49.0,21.0,24.84016732,6.4725232870000005,maize,1.11,37.0
62.0,52.0,16.0,22.27526694,6.9670577620000005,maize,1.07,37.1
92.0,44.0,16.0,18.87751445,6.082973754,maize,1.25,51.1
66.0,54.0,21.0,25.19008683,5.919045532,maize,0.91,41.2
63.0,58.0,22.0,18.25405352,6.204747652999999,maize,0.97,41.3
70.0,47.0,17.0,24.612911800000006,6.600827017,maize,1.0,51.1
61.0,41.0,17.0,25.1420613,6.021902237000001,maize,0.93,45.6
66.0,53.0,19.0,23.09348056,6.033550195,maize,0.94,36.4
74.0,55.0,19.0,18.05033737,6.28886807,maize,0.95,45.4
77.0,57.0,21.0,24.9321581,6.550563822999999,maize,1.04,44.9
99.0,50.0,15.0,18.14710054,5.573286437,maize,1.05,43.8
74.0,56.0,22.0,18.28362235,6.829199275,maize,1.08,44.3
83.0,45.0,21.0,18.83344471,5.716222912,maize,1.25,40.7
100.0,48.0,16.0,25.71895816,5.54990242,maize,1.28,43.7
79.0,51.0,16.0,25.33797709,6.586244581,maize,0.96,48.7
94.0,39.0,18.0,23.89114571,5.893093135,maize,1.32,42.9
75.0,49.0,15.0,21.53574127,5.918263801,maize,1.2,50.0
78.0,48.0,22.0,23.08974909,5.588650585,maize,1.08,37.7
87.0,54.0,20.0,25.61707368,6.576418207000001,maize,1.19,45.2
87.0,35.0,25.0,21.44526922,6.178056304,maize,0.99,45.4
63.0,43.0,19.0,18.51816776,6.641906353,maize,1.09,43.4
84.0,57.0,25.0,22.53510514,6.489040367,maize,1.19,40.0
64.0,35.0,23.0,23.02038334,5.680361037999999,maize,1.06,38.2
60.0,46.0,22.0,24.89364635,6.625404347999999,maize,1.05,44.4
98.0,44.0,21.0,25.77175115,6.524478032,maize,1.16,51.1
75.0,56.0,18.0,19.39851734,5.696205468,maize,0.97,39.0
86.0,55.0,21.0,21.54156232,6.803931519,maize,1.26,53.6
98.0,35.0,18.0,23.79746068,6.252797547999999,maize,1.1,48.0
76.0,57.0,18.0,18.9802729,6.092725883,maize,0.96,45.1
99.0,56.0,17.0,24.10859207,6.234330356,maize,1.16,46.0
60.0,44.0,23.0,24.7947077,5.722579819,maize,0.67,42.8
74.0,48.0,17.0,21.63162756,6.430616465,maize,0.96,34.4
89.0,60.0,17.0,25.37548751,5.983952675,maize,1.16,46.2
69.0,51.0,23.0,22.21738222,6.80163854,maize,1.04,52.0
96.0,46.0,22.0,20.58314011,6.499936446,maize,1.1,46.3
61.0,60.0,15.0,24.87502824,6.265564338,maize,1.1,45.4
74.0,58.0,18.0,20.03728219,6.727303282,maize,0.88,44.3
74.0,43.0,23.0,25.95263264,6.325235159,maize,1.14,46.5
63.0,43.0,17.0,19.28889933,6.807487794,maize,1.05,41.0
99.0,36.0,20.0,20.57981887,6.671085817000001,maize,1.01,44.7
77.0,36.0,23.0,24.71417533,6.648725327,maize,1.05,39.9
87.0,60.0,23.0,20.27317074,6.439071996,maize,1.31,39.3
60.0,38.0,17.0,18.41932981,6.474476516,maize,0.99,44.9
94.0,54.0,17.0,23.39128187,5.871647806,maize,1.34,49.3
95.0,38.0,22.0,19.84939404,5.730617109,maize,0.97,47.9
84.0,44.0,21.0,21.869274,5.850439831,maize,1.1,46.8
77.0,58.0,19.0,22.8056033,5.791649933,maize,1.19,47.8
66.0,44.0,20.0,19.0781471,6.740000687999999,maize,1.01,43.5
63.0,35.0,16.0,22.02720976,6.272417541,maize,1.05,43.7
79.0,45.0,20.0,23.80546189,5.715208817000001,maize,1.12,45.8
72.0,60.0,25.0,18.52510753,5.773454729,maize,1.12,44.2
67.0,51.0,24.0,23.50297882,5.584171461,maize,0.86,35.3
86.0,36.0,24.0,26.54986394,5.787268394,maize,1.26,40.7
76.0,48.0,18.0,19.29563411,5.77597783,maize,1.33,45.3
75.0,53.0,18.0,20.68899915,6.864793607,maize,1.14,45.5
81.0,45.0,23.0,19.32666088,6.192360002999999,maize,1.23,43.8
73.0,45.0,21.0,24.60532218,6.636803222999999,maize,0.93,48.7
71.0,35.0,24.0,22.27373646,5.826426917,maize,1.16,39.9
96.0,54.0,22.0,25.70196694,6.960358276,maize,1.09,41.5
99.0,39.0,18.0,19.20129357,6.11275104,maize,1.18,45.9
62.0,48.0,20.0,21.70181447,6.708446922,maize,0.9,48.0
86.0,37.0,16.0,20.51716779,5.561510732,maize,1.06,41.4
94.0,50.0,19.0,23.30355338,5.873242491,maize,1.11,45.9
76.0,39.0,24.0,24.2547451,6.995843776,maize,1.04,37.4
77.0,52.0,17.0,24.86374934,5.714799723,maize,1.0,42.9
74.0,39.0,23.0,22.6265115,6.78073637,maize,0.75,48.0
81.0,49.0,20.0,18.04185513,5.513697923,maize,1.12,51.9
63.0,42.0,21.0,23.26237612,5.798423907999999,maize,1.11,39.6
99.0,38.0,21.0,22.88330922,6.352471866,maize,1.21,41.7
90.0,52.0,25.0,25.97482359,6.822586546,maize,1.11,47.5
68.0,40.0,19.0,26.14384005,6.655426355,maize,1.05,47.8
60.0,57.0,24.0,18.66116213,6.1212940410000005,maize,0.94,41.1
71.0,52.0,18.0,25.10787449,5.790770202999999,maize,1.06,36.2
61.0,59.0,17.0,23.33844615,6.47444292,maize,0.87,47.2
88.0,38.0,15.0,25.08239719,6.455116637000001,maize,1.01,41.8
65.0,60.0,22.0,25.36768364,6.6069840860000015,maize,0.84,52.8
78.0,37.0,22.0,25.34217103,6.330554389,maize,0.96,40.0
78.0,58.0,15.0,25.00933355,6.5286312660000005,maize,1.11,37.7
92.0,60.0,23.0,18.66746724,5.721667141,maize,0.87,39.6
79.0,59.0,17.0,20.37999665,6.644205485,maize,1.08,47.7
91.0,55.0,15.0,18.09300227,6.376651091,maize,1.22,48.4
76.0,51.0,18.0,26.16985907,6.247040422,maize,1.12,47.2
87.0,48.0,25.0,18.65396672,6.656730007999999,maize,1.14,44.5
71.0,60.0,22.0,26.07470121,6.2048017,maize,1.01,44.7
90.0,57.0,24.0,18.92851916,6.158860284,maize,1.19,43.8
67.0,35.0,22.0,23.30546753,6.385684213999999,maize,0.86,52.7
60.0,54.0,19.0,18.74826712,6.417820493,maize,0.97,40.4
83.0,58.0,23.0,19.74213321,6.381201909,maize,1.14,36.1
83.0,57.0,19.0,25.73044432,6.877869005,maize,0.98,45.2
40.0,72.0,77.0,17.02498456,7.485996067,chickpea,1.06,37.1
23.0,72.0,84.0,19.02061277,6.920251378,chickpea,0.91,34.0
39.0,58.0,85.0,17.88776475,5.9969320370000005,chickpea,1.09,32.3
22.0,72.0,85.0,18.86805647,6.391173589,chickpea,1.0,35.5
36.0,67.0,77.0,18.36952567,7.152811172000001,chickpea,1.25,33.3
32.0,73.0,81.0,20.45078582,5.988992796000002,chickpea,1.28,36.9
58.0,70.0,84.0,20.6543203,6.231049027999999,chickpea,1.2,30.6
59.0,70.0,84.0,17.3348681,7.550808267000001,chickpea,1.26,34.6
42.0,62.0,75.0,18.17912258,7.010570541,chickpea,1.12,36.9
28.0,74.0,81.0,18.01272266,8.753795334,chickpea,1.17,32.9
58.0,66.0,79.0,20.99373558,8.718192847000001,chickpea,1.24,37.4
43.0,66.0,79.0,19.46233971,7.976607593,chickpea,1.08,32.9
58.0,63.0,81.0,19.81344531,6.515499548999999,chickpea,1.15,36.5
23.0,62.0,85.0,18.97424756,8.490127142,chickpea,1.1,33.9
27.0,62.0,77.0,18.19737048,6.576415562,chickpea,1.02,32.5
28.0,72.0,84.0,18.72963144,6.481783042999999,chickpea,1.14,33.1
50.0,56.0,76.0,20.99502153,7.966605025,chickpea,1.31,34.5
39.0,71.0,84.0,20.28155898,8.140825437,chickpea,1.17,35.4
25.0,78.0,76.0,17.48042641,7.228963452,chickpea,0.97,33.1
31.0,70.0,77.0,20.88818675,6.492546046,chickpea,1.14,37.4
26.0,80.0,83.0,17.08498521,7.528599957000001,chickpea,0.87,30.5
25.0,68.0,77.0,20.09340593,7.701446446,chickpea,1.16,34.0
31.0,78.0,76.0,17.57212145,8.519975748,chickpea,0.85,33.7
60.0,68.0,83.0,19.12065218,6.620900869,chickpea,1.2,30.5
59.0,62.0,83.0,18.57665902,8.104396057999999,chickpea,1.15,37.6
22.0,67.0,78.0,17.16606398,6.204090835,chickpea,1.14,35.0
36.0,65.0,80.0,18.2872007,6.051091339,chickpea,1.32,34.7
59.0,60.0,84.0,19.03025305,7.690962337999999,chickpea,1.19,36.5
54.0,77.0,85.0,17.141861399999996,7.8292111439999985,chickpea,1.19,31.4
43.0,68.0,81.0,17.47809436,6.761599706,chickpea,1.29,32.1
28.0,76.0,82.0,20.56601874,6.654425315,chickpea,1.03,36.1
42.0,79.0,85.0,17.22385224,6.129533877,chickpea,1.37,37.5
32.0,60.0,83.0,19.69141713,8.829273328,chickpea,1.11,32.2
22.0,78.0,76.0,17.84851658,8.621662982,chickpea,1.16,37.0
31.0,79.0,75.0,18.8202251,8.204862075,chickpea,1.07,39.7
28.0,58.0,81.0,17.47500984,6.18042747,chickpea,1.2,37.5
57.0,58.0,77.0,18.72649425,7.978996755,chickpea,1.23,36.8
49.0,55.0,78.0,18.65580107,7.863113671,chickpea,1.06,33.0
46.0,76.0,77.0,18.2356751,6.967843048,chickpea,1.13,31.0
54.0,61.0,77.0,18.81198127,6.206582192999999,chickpea,1.34,32.1
38.0,60.0,76.0,18.65054116,8.868741443,chickpea,1.17,29.5
59.0,55.0,79.0,20.36720401,8.766128654,chickpea,1.19,34.1
36.0,76.0,75.0,18.38120357,8.736337905,chickpea,1.12,32.0
57.0,68.0,81.0,17.17012591,8.081095263,chickpea,1.04,32.1
35.0,66.0,81.0,19.37101121,6.138243973,chickpea,1.01,31.4
35.0,64.0,78.0,17.92845928,7.496645259,chickpea,0.99,34.1
52.0,60.0,79.0,19.45339934,8.380185271,chickpea,1.18,35.8
27.0,76.0,83.0,19.12829388,6.289614016,chickpea,1.17,37.3
57.0,60.0,84.0,19.1034283,6.586777189,chickpea,1.31,35.5
52.0,68.0,78.0,17.48504075,6.89655198,chickpea,1.34,33.4
43.0,79.0,79.0,19.40751744,7.8067476560000015,chickpea,1.13,34.9
44.0,74.0,85.0,20.18649426,7.150681303,chickpea,1.29,34.8
24.0,55.0,78.0,17.30287885,6.64919573,chickpea,1.05,32.0
29.0,77.0,75.0,17.50361137,7.778591617999999,chickpea,1.07,29.0
20.0,60.0,78.0,18.17234999,6.358740355,chickpea,1.1,32.2
56.0,67.0,78.0,17.57445618,8.255450758,chickpea,1.29,36.4
37.0,66.0,85.0,20.93175255,6.456148474,chickpea,1.29,35.4
49.0,71.0,76.0,19.71098332,6.613072145,chickpea,1.18,36.8
59.0,69.0,80.0,19.07937684,8.165359297,chickpea,1.21,28.1
20.0,79.0,77.0,18.54988627,7.64867466,chickpea,1.09,29.2
24.0,56.0,85.0,18.19903647,6.545888558,chickpea,0.99,32.8
51.0,72.0,75.0,18.88852533,7.1042247970000005,chickpea,1.29,28.3
57.0,73.0,85.0,18.49311205,7.358099622,chickpea,1.24,36.3
22.0,64.0,82.0,19.48974337,6.4740245000000005,chickpea,1.04,37.9
52.0,73.0,79.0,17.25769499,7.840339388999999,chickpea,1.22,39.5
29.0,75.0,75.0,19.62416326,7.064790365,chickpea,1.18,37.7
44.0,59.0,78.0,20.67526473,7.599033472,chickpea,0.93,32.2
41.0,69.0,82.0,20.02381489,6.715587232000001,chickpea,1.08,32.1
52.0,56.0,85.0,20.118744600000007,6.81712422,chickpea,1.09,37.5
34.0,76.0,80.0,20.65691793,7.985417393,chickpea,1.2,28.1
42.0,74.0,83.0,19.2582557,7.545258424,chickpea,1.1,23.7
34.0,71.0,79.0,17.927806,7.728998197,chickpea,1.14,28.9
27.0,73.0,79.0,19.16288268,7.354973451,chickpea,1.06,35.7
30.0,70.0,79.0,20.26942271,7.313122235,chickpea,1.0,31.9
57.0,57.0,75.0,17.09104223,7.785039076,chickpea,1.23,28.6
27.0,79.0,82.0,17.06579293,6.307004922999999,chickpea,1.13,29.2
32.0,71.0,85.0,20.62767492,6.4039823160000005,chickpea,1.24,32.1
31.0,76.0,82.0,20.8248451,7.599279991,chickpea,0.96,34.8
33.0,75.0,84.0,19.46210401,7.217018459,chickpea,0.99,34.6
47.0,80.0,77.0,17.18248372,7.561108006,chickpea,1.23,25.9
54.0,62.0,80.0,17.48911699,7.489545074,chickpea,1.27,34.8
47.0,79.0,78.0,17.48395377,6.609696734,chickpea,1.08,26.2
35.0,57.0,83.0,19.48316794,7.476800943,chickpea,1.16,35.4
53.0,73.0,77.0,19.71359733,7.325451279,chickpea,1.24,32.3
45.0,61.0,78.0,19.48649305,6.489389282,chickpea,1.08,37.6
37.0,78.0,79.0,19.95264829,7.786366322,chickpea,1.19,36.3
30.0,75.0,81.0,19.41789736,6.4084378860000015,chickpea,1.14,31.2
37.0,55.0,82.0,19.45591848,8.423873703,chickpea,1.18,32.6
53.0,65.0,76.0,20.19137759,8.719960893,chickpea,1.27,29.5
22.0,60.0,85.0,18.8392908,7.811997977000001,chickpea,1.0,36.3
60.0,61.0,78.0,20.71219282,6.317153205,chickpea,1.32,38.1
42.0,67.0,77.0,18.99424448,7.114405288,chickpea,1.13,30.2
39.0,76.0,76.0,19.96837462,8.135900726000001,chickpea,1.21,27.2
35.0,63.0,76.0,17.81564548,7.714153037999999,chickpea,1.2,37.5
30.0,65.0,82.0,20.71424384,7.103798069,chickpea,1.07,34.8
57.0,56.0,78.0,17.34150229,8.861479668,chickpea,1.19,33.7
48.0,65.0,78.0,17.43732714,7.861128148,chickpea,1.24,30.6
36.0,56.0,83.0,18.89780215,7.4526709,chickpea,1.2,36.1
40.0,58.0,75.0,18.59190771,7.168096055,chickpea,1.06,31.9
49.0,69.0,82.0,18.31561493,7.26311855,chickpea,1.27,29.3
13.0,60.0,25.0,17.13692774,5.68597166,kidneybeans,0.9,47.1
25.0,70.0,16.0,19.63474332,5.759237003,kidneybeans,0.91,37.2
31.0,55.0,22.0,22.91350245,5.873171894,kidneybeans,0.76,43.4
40.0,64.0,16.0,16.43340342,5.926676985,kidneybeans,0.9,51.5
2.0,61.0,20.0,22.13974653,5.95561668,kidneybeans,0.64,32.1
26.0,65.0,22.0,17.84806561,5.9499490810000015,kidneybeans,1.0,52.2
17.0,57.0,21.0,19.88394011,5.789214288999999,kidneybeans,0.65,29.0
26.0,80.0,18.0,19.32509638,5.581021521,kidneybeans,0.92,44.1
17.0,59.0,17.0,18.416700100000003,5.689858133,kidneybeans,0.8,48.8
27.0,59.0,22.0,21.81167649,5.794158503999999,kidneybeans,0.78,46.3
28.0,58.0,24.0,19.72702528,5.748190462999999,kidneybeans,0.67,53.5
25.0,57.0,19.0,17.15432954,5.566522896,kidneybeans,0.77,36.8
28.0,80.0,17.0,19.62207826,5.809419584,kidneybeans,0.86,53.2
25.0,60.0,22.0,21.63149148,5.887263027,kidneybeans,0.79,45.9
12.0,78.0,23.0,16.06522754,5.99812453,kidneybeans,0.68,31.3
6.0,77.0,25.0,20.61162204,5.792744849,kidneybeans,0.85,32.0
22.0,79.0,17.0,21.42451099,5.912289889,kidneybeans,0.75,42.9
27.0,80.0,15.0,19.07096165,5.7883869510000014,kidneybeans,0.88,36.9
10.0,55.0,23.0,21.18853178,5.728233081,kidneybeans,0.63,44.9
23.0,65.0,20.0,23.0429097,5.833940084,kidneybeans,0.76,37.2
19.0,78.0,16.0,20.65375833,5.967533236,kidneybeans,0.83,34.6
19.0,65.0,25.0,18.09551014,5.6250964460000015,kidneybeans,0.74,50.2
22.0,70.0,19.0,18.23775702,5.515615023,kidneybeans,0.86,34.0
37.0,64.0,22.0,17.48189735,5.954665349,kidneybeans,0.84,45.0
11.0,71.0,17.0,19.9191786,5.74644777,kidneybeans,0.98,32.7
18.0,79.0,20.0,20.27514686,5.877347515,kidneybeans,0.97,49.8
21.0,63.0,17.0,15.77370214,5.979973965,kidneybeans,0.64,43.4
24.0,80.0,22.0,16.71170642,5.635993966,kidneybeans,0.89,37.2
34.0,60.0,22.0,17.66148158,5.635231778,kidneybeans,0.94,39.3
16.0,75.0,21.0,18.50692825,5.679224346,kidneybeans,0.6,33.8
17.0,77.0,23.0,24.51324787,5.670062975,kidneybeans,0.93,30.2
37.0,72.0,18.0,18.87614998,5.724242065,kidneybeans,0.92,43.6
40.0,73.0,20.0,21.59343016,5.811314232000001,kidneybeans,1.03,35.6
9.0,77.0,17.0,20.12373284,5.783425416,kidneybeans,0.78,39.3
1.0,62.0,23.0,15.43546065,5.607808432000001,kidneybeans,0.73,47.2
33.0,59.0,22.0,22.64236876,5.946999529,kidneybeans,0.87,45.3
23.0,59.0,19.0,21.98560799,5.852046999,kidneybeans,0.79,48.8
6.0,62.0,22.0,20.53052663,5.824090984,kidneybeans,0.69,45.4
25.0,63.0,20.0,15.78601387,5.502999119,kidneybeans,0.71,34.1
7.0,79.0,23.0,19.6365349,5.821649914,kidneybeans,0.66,39.7
8.0,72.0,17.0,20.57341244,5.711439256,kidneybeans,0.75,37.2
27.0,64.0,15.0,20.16080524,5.514927264,kidneybeans,0.64,47.8
28.0,66.0,23.0,21.53989176,5.99616119,kidneybeans,0.95,44.3
32.0,57.0,18.0,15.53834801,5.695422862999999,kidneybeans,0.83,41.7
27.0,56.0,22.0,19.91853092,5.833010957999999,kidneybeans,0.87,44.2
17.0,77.0,24.0,20.76952209,5.568456899,kidneybeans,0.86,43.2
0.0,65.0,15.0,23.46168338,5.645435626,kidneybeans,0.88,39.8
13.0,72.0,21.0,24.32116642,5.821194486,kidneybeans,0.97,32.9
34.0,60.0,23.0,20.12574053,5.659254981,kidneybeans,0.8,38.5
9.0,80.0,19.0,21.80619564,5.945465949,kidneybeans,0.8,41.0
11.0,72.0,20.0,19.52226241,5.9511774520000005,kidneybeans,0.76,38.1
3.0,67.0,24.0,17.00067625,5.520880013999999,kidneybeans,0.9,37.8
35.0,69.0,23.0,16.78791503,5.578410206,kidneybeans,0.89,33.0
3.0,77.0,25.0,24.84906168,5.608165195,kidneybeans,0.45,27.7
23.0,62.0,19.0,16.51783455,5.609435127999999,kidneybeans,0.83,33.7
22.0,71.0,17.0,18.15300153,5.509295379,kidneybeans,0.92,38.0
31.0,79.0,25.0,23.18864385,5.902033406,kidneybeans,0.93,34.2
34.0,59.0,18.0,23.38002569,5.744117663,kidneybeans,0.72,31.8
12.0,63.0,17.0,18.358923,5.717143397,kidneybeans,0.85,53.8
27.0,56.0,20.0,19.25975367,5.542690119,kidneybeans,0.88,39.8
7.0,63.0,24.0,22.95458237,5.858617867,kidneybeans,0.71,41.2
24.0,67.0,22.0,20.120043,5.618844277000001,kidneybeans,0.8,42.3
11.0,71.0,24.0,21.14011423,5.6066203460000015,kidneybeans,1.08,46.3
37.0,74.0,15.0,24.92360104,5.582178402,kidneybeans,0.86,28.2
25.0,76.0,24.0,15.33042636,5.56503533,kidneybeans,0.92,49.9
34.0,66.0,17.0,18.81097271,5.889614577000001,kidneybeans,0.93,49.2
20.0,69.0,15.0,23.44260668,5.934136378,kidneybeans,0.74,42.0
37.0,65.0,16.0,22.8352024,5.683548308,kidneybeans,0.88,29.9
18.0,74.0,15.0,24.9035819,5.70836603,kidneybeans,0.9,53.7
4.0,67.0,25.0,23.78709569,5.948164454,kidneybeans,0.73,42.4
37.0,56.0,25.0,22.05592283,5.774755143999999,kidneybeans,0.99,45.2
5.0,59.0,15.0,18.87492997,5.97229163,kidneybeans,0.92,46.7
11.0,61.0,21.0,18.62328774,5.532100554,kidneybeans,0.54,47.1
22.0,80.0,20.0,23.00884744,5.669560726,kidneybeans,1.06,37.3
12.0,61.0,19.0,19.33162606,5.655726817000001,kidneybeans,1.05,37.3
5.0,74.0,21.0,16.24469193,5.591704013999999,kidneybeans,0.82,31.5
27.0,69.0,22.0,17.91652287,5.932323085,kidneybeans,0.85,31.7
